tribunal,numero_formatado,numero_raw,classe,assuntos,url_consulta
TJMA,0800428-06.2026.8.10.0091,08004280620268100091,Procedimento Comum Cível,"Direito de Imagem, Contratos Bancários, Indenização por Dano Material",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800428-06.2026.8.10.0091
TJMA,0800427-21.2026.8.10.0091,08004272120268100091,Procedimento Comum Cível,"Contratos Bancários, Direito de Imagem, Indenização por Dano Material",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800427-21.2026.8.10.0091
TJMA,0800426-36.2026.8.10.0091,08004263620268100091,Procedimento Comum Cível,"Contratos Bancários, Direito de Imagem, Indenização por Dano Material",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800426-36.2026.8.10.0091
TJMA,0800425-51.2026.8.10.0091,08004255120268100091,Procedimento Comum Cível,"Indenização por Dano Material, Direito de Imagem, Contratos Bancários",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800425-51.2026.8.10.0091
TJMA,0800424-66.2026.8.10.0091,08004246620268100091,Procedimento Comum Cível,"Contratos Bancários, Direito de Imagem, Indenização por Dano Material",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800424-66.2026.8.10.0091
TJMA,0800423-81.2026.8.10.0091,08004238120268100091,Procedimento Comum Cível,"Contratos Bancários, Indenização por Dano Material, Direito de Imagem",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800423-81.2026.8.10.0091
TJMA,0800422-96.2026.8.10.0091,08004229620268100091,Procedimento Comum Cível,"Direito de Imagem, Contratos Bancários, Indenização por Dano Material",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800422-96.2026.8.10.0091
TJMA,0800421-14.2026.8.10.0091,08004211420268100091,Procedimento Comum Cível,"Direito de Imagem, Indenização por Dano Material, Contratos Bancários",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800421-14.2026.8.10.0091
TJMA,0800420-29.2026.8.10.0091,08004202920268100091,Procedimento Comum Cível,"Contratos Bancários, Indenização por Dano Material, Direito de Imagem",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800420-29.2026.8.10.0091
TJMG,1057589-13.2026.8.13.0024,10575891320268130024,Monitória,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1057589-13.2026.8.13.0024
TJMG,1000744-78.2026.8.13.0470,10007447820268130470,Procedimento Comum Cível,"Contratos Bancários, Indenização por Dano Moral",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1000744-78.2026.8.13.0470
TJMG,1005180-56.2026.8.13.0672,10051805620268130672,Busca e Apreensão em Alienação Fiduciária,"Alienação Fiduciária, Inadimplemento, Contratos Bancários, Cédula de Crédito Bancário",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1005180-56.2026.8.13.0672
TJMG,5018171-30.2025.8.13.0672,50181713020258130672,Recurso Especial,"Interpretação / Revisão de Contrato, Bancários, Capitalização / Anatocismo, Contratos Bancários, Defeito, nulidade ou anulação, Empréstimo consignado, Honorários Advocatícios, Indenização por Dano Moral, Limitação de Juros, Repetição de indébito",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5018171-30.2025.8.13.0672
TJMG,1015648-86.2026.8.13.0702,10156488620268130702,Execução de Título Extrajudicial,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1015648-86.2026.8.13.0702
TJMG,1054235-77.2026.8.13.0024,10542357720268130024,Procedimento Comum Cível,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1054235-77.2026.8.13.0024
TJMG,5055316-30.2025.8.13.0702,50553163020258130702,Recurso Inominado Cível,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5055316-30.2025.8.13.0702
TJMG,5031436-09.2025.8.13.0702,50314360920258130702,Recurso Inominado Cível,"Bancários, Atos Unilaterais, Cartão de Crédito, Contratos Bancários, Indenização por Dano Moral",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5031436-09.2025.8.13.0702
TJMG,5020254-19.2025.8.13.0672,50202541920258130672,Recurso Especial,"Interpretação / Revisão de Contrato, Bancários, Capitalização / Anatocismo, Contratos Bancários, Defeito, nulidade ou anulação, Empréstimo consignado, Honorários Advocatícios, Indenização por Dano Moral, Limitação de Juros, Repetição de indébito",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5020254-19.2025.8.13.0672
TJMG,1003246-55.2026.8.13.0707,10032465520268130707,Procedimento Comum Cível,"Contratos Bancários, Bancários",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1003246-55.2026.8.13.0707
TJMG,1414288-23.2026.8.13.0000,14142882320268130000,Agravo de Instrumento,"Bancários, Contratos Bancários, Crédito Rotativo, Interpretação / Revisão de Contrato, Tarifas",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1414288-23.2026.8.13.0000
TJMG,1054175-07.2026.8.13.0024,10541750720268130024,Embargos à Execução,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1054175-07.2026.8.13.0024
TJMG,5010007-37.2024.8.13.0567,50100073720248130567,Apelação Cível,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5010007-37.2024.8.13.0567
TJMG,5005145-06.2019.8.13.0209,50051450620198130209,Embargos de Declaração Cível,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5005145-06.2019.8.13.0209
TJMG,5003329-50.2026.8.13.0271,50033295020268130271,Execução de Título Extrajudicial,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5003329-50.2026.8.13.0271
TJMG,5000601-40.2026.8.13.0205,50006014020268130205,Procedimento Comum Cível,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5000601-40.2026.8.13.0205
TJMG,5001257-40.2026.8.13.0611,50012574020268130611,Execução de Título Extrajudicial,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5001257-40.2026.8.13.0611
TJMG,1054052-09.2026.8.13.0024,10540520920268130024,Execução de Título Extrajudicial,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1054052-09.2026.8.13.0024
TJMG,1003235-26.2026.8.13.0707,10032352620268130707,Monitória,"Inadimplemento, Contratos Bancários",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1003235-26.2026.8.13.0707
TJMG,5000817-37.2020.8.13.0358,50008173720208130358,Recurso Inominado Cível,"Contratos Bancários, Pagamento",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5000817-37.2020.8.13.0358
TJMG,5000124-52.2024.8.13.0604,50001245220248130604,Recurso Especial,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5000124-52.2024.8.13.0604
TJMG,5002040-91.2026.8.13.0074,50020409120268130074,Execução de Título Extrajudicial,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5002040-91.2026.8.13.0074
TJMG,5002811-53.2026.8.13.0338,50028115320268130338,Monitória,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5002811-53.2026.8.13.0338
TJMG,1015527-58.2026.8.13.0702,10155275820268130702,Procedimento Comum Cível,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1015527-58.2026.8.13.0702
TJMG,5001242-19.2026.8.13.0596,50012421920268130596,Monitória,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5001242-19.2026.8.13.0596
TJMG,5000308-34.2026.8.13.0120,50003083420268130120,Monitória,Contratos Bancários,https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=5000308-34.2026.8.13.0120
TJMG,1053807-95.2026.8.13.0024,10538079520268130024,Procedimento Comum Cível,"Contratos Bancários, Indenização por Dano Moral",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1053807-95.2026.8.13.0024
TJMG,1006209-39.2026.8.13.0027,10062093920268130027,Procedimento Comum Cível,"Contratos Bancários, Revisão de Juros Remuneratórios, Capitalização/Anatocismo",https://www4.tjmg.jus.br/juridico/sf/proc_resultado2.jsp?listaProcessos=1006209-39.2026.8.13.0027
